Python 3;Adopt;languages-and-frameworks;ЛОЖЬ;"<p><strong><a href=""https://ru.wikipedia.org/wiki/Python"">Python</a></strong> — высокоуровневый язык программирования общего назначения с динамической строгой типизацией и автоматическим управлением памятью.</p> <p><strong><em>Сотрудники, владеющие ЯП:</em></strong></p> <ul><br><li>Ахантьев Е.Н.</li><li>Ахантьева И.А.</li><li>Колоскова А.В.</li><li>Ларькин А.А.</li><li>Панасюк Д.С.</li><li>Пятигора Д.О.</li></ul>"
Java;Adopt;languages-and-frameworks;ЛОЖЬ;"<p><strong><a href=""https://ru.wikipedia.org/wiki/Java"">Java</a></strong> — строго типизированный объектно-ориентированный язык программирования общего назначения, разработанный компанией Sun Microsystems.</p> <p><strong><em>Сотрудники, владеющие ЯП:</em></strong></p> <ul><br><li>Сабанин Д.А.</li></ul>"
VBA;Adopt;languages-and-frameworks;ЛОЖЬ;"<p><strong><a href=""https://ru.wikipedia.org/wiki/Visual_Basic_for_Applications#:~:text=Visual%20Basic%20for%20Applications%20(VBA,SolidWorks%2C%20CorelDRAW%2C%20WordPerfect%20%D0%B8%20ESRI"">VBA</a></strong> — немного упрощённая реализация языка программирования Visual Basic, встроенная в линейку продуктов Microsoft Office (включая версии для Mac OS), а также во многие другие программные пакеты, такие как AutoCAD, SolidWorks, CorelDRAW, WordPerfect и ESRI ArcGIS. VBA покрывает и расширяет функциональность ранее использовавшихся специализированных макро-языков, таких как WordBasic.</p> <p><strong><em>Сотрудники, владеющие ЯП:</em></strong></p> <ul><br><li>Ахантьев Е.Н.</li><li>Колоскова А.В.</li><li>Панасюк Д.С.</li><li>Попкова Д.А.</li><li>Пятигора Д.О.</li><li>Сергеева Т.В.</li></ul>"
JavaScript;Trial;languages-and-frameworks;ЛОЖЬ;"<p><strong><a href=""https://ru.wikipedia.org/wiki/JavaScript"">JavaScript</a></strong> — это мультипарадигменный язык программирования, который обычно применяется в качестве встраиваемого инструмента для программного доступа к различным объектам приложений.</p> <p><strong><em>Сотрудники, владеющие ЯП:</em></strong></p> <ul><br><li>Ахантьев Е.Н.</li><li>Ахантьева И.А.</li><li>Колоскова А.В.</li></ul>"
MATLAB;Trial;languages-and-frameworks;ЛОЖЬ;"<p><strong><a href=""https://ru.wikipedia.org/wiki/MATLAB"">MATLAB</a></strong> — это высокоуровневый интерпретируемый язык программирования, включающий основанные на матрицах структуры данных, широкий спектр функций, интегрированную среду разработки, объектно-ориентированные возможности и интерфейсы к программам, написанным на других языках программирования.</p> <p><strong><em>Сотрудники, владеющие ЯП:</em></strong></p> <ul><br><li>Колоскова А.В.</li></ul>"
HTML5;Trial;languages-and-frameworks;ЛОЖЬ;"<p><strong><a href=""https://ru.wikipedia.org/wiki/HTML"">HTML</a></strong> — стандартизированный язык гипертекстовой разметки документов для просмотра веб-страниц в браузере.</p> <p><strong><em>Сотрудники, владеющие языком:</em></strong></p> <ul><br><li>Ахантьев Е.Н.</li><li>Ахантьева И.А.</li><li>Попкова Д.А.</li></ul>"
CSS3;Trial;languages-and-frameworks;ЛОЖЬ;"<p><strong><a href=""https://ru.wikipedia.org/wiki/CSS"">CSS</a></strong> — формальный язык описания внешнего вида документа (веб-страницы), написанного с использованием языка разметки (чаще всего HTML или XHTML).</p> <p><strong><em>Сотрудники, владеющие языком:</em></strong></p> <ul><br><li>Ахантьев Е.Н.</li><li>Ахантьева И.А.</li><li>Попкова Д.А.</li></ul>"
Flask;Assess;languages-and-frameworks;ЛОЖЬ;"<p><strong><a href=""https://ru.wikipedia.org/wiki/Flask_(%D0%B2%D0%B5%D0%B1-%D1%84%D1%80%D0%B5%D0%B9%D0%BC%D0%B2%D0%BE%D1%80%D0%BA)"">Flask</a></strong> — фреймворк для создания веб-приложений на языке программирования Python, использующий набор инструментов Werkzeug, а также шаблонизатор Jinja2.</p> <p><strong><em>Сотрудники, владеющие фреймворком:</em></strong></p> <ul><br><li>Ахантьев Е.Н.</li></ul>"
Django;Assess;languages-and-frameworks;ЛОЖЬ;"<p><strong><a href=""https://ru.wikipedia.org/wiki/Django"">Django</a></strong> — свободный фреймворк для веб-приложений на языке Python, использующий шаблон проектирования MVC.</p> <p><strong><em>Сотрудники, владеющие фреймворком:</em></strong></p> <ul><br><li>Ахантьева И.А.</li></ul>"
React;Assess;languages-and-frameworks;ЛОЖЬ;"<p><strong><a href=""https://ru.wikipedia.org/wiki/React"">React</a></strong> — JavaScript-библиотека с открытым исходным кодом для разработки пользовательских интерфейсов.</p> <p><strong><em>Сотрудники, владеющие фреймворком:</em></strong></p> <ul><br><li>Ахантьева И.А.</li></ul>"
Vue.js;Assess;languages-and-frameworks;ЛОЖЬ;"<p><strong><a href=""https://ru.wikipedia.org/wiki/Vue.js"">Vue.js</a></strong> — JavaScript-фреймворк с открытым исходным кодом для создания пользовательских интерфейсов.</p> <p><strong><em>Сотрудники, владеющие фреймворком:</em></strong></p> <ul><br><li>Ахантьева И.А.</li></ul>"
PHP;Hold;languages-and-frameworks;ЛОЖЬ;"<p><strong><a href=""https://ru.wikipedia.org/wiki/PHP"">PHP</a></strong> — C-подобный скриптовый язык общего назначения, интенсивно применяемый для разработки веб-приложений.</p> <p><strong><em>Сотрудники, владеющие ЯП:</em></strong></p> <ul><br><li>Попкова Д.А.</li></ul>"
Java;Adopt;learning;ИСТИНА;<p>Обучение необходимо для работы по администрированию TeamCenter</p>
C/C++;Adopt;learning;ИСТИНА;<p>Обучение необходимо для работы по администрированию TeamCenter</p>
Oracle;Adopt;learning;ИСТИНА;<p>Обучение необходимо для работы по администрированию TeamCenter</p>
MS SQL;Adopt;learning;ИСТИНА;<p>Обучение необходимо для работы по администрированию TeamCenter</p>
PostgreSQL;Trial;learning;ИСТИНА;<p>Обучение необходимо для работы с БД</p>
Flask;Hold;learning;ИСТИНА;<p>Обучение необходимо для полноценной работы, связанной с использованием ЯП Python</p>
Django;Hold;learning;ИСТИНА;<p>Обучение необходимо для полноценной работы, связанной с использованием ЯП Python</p>
PyQT;Assess;learning;ИСТИНА;<p>Обучение необходимо для полноценной работы, связанной с использованием ЯП Python</p>
PyTorch;Assess;learning;ИСТИНА;<p>Обучение необходимо для полноценной работы, связанной с использованием ЯП Python</p>
Библиотеки Python(Tensor Flow, Numpy, Pandas, SciPy);Assess;learning;ИСТИНА;<p>Обучение необходимо для полноценной работы, связанной с использованием ЯП Python</p>
TypeScript;Hold;learning;ИСТИНА;<p>Обучение необходимо для расширения знаний, связанных с JS</p>
BPMN, UML;Trial;learning;ИСТИНА;<p>Обучение необходимо для создания диаграмм для проектов, построения, автоматизации и оптимизации бизнес-процессов компании в будущем</p>
Node.js;Hold;Tools;ЛОЖЬ;"<p><strong><a href=""https://ru.wikipedia.org/wiki/Node.js"">Node.js</a></strong> — программная платформа, основанная на движке V8 (компилирующем JavaScript в машинный код), превращающая JavaScript из узкоспециализированного языка в язык общего назначения. Node.js добавляет возможность JavaScript взаимодействовать с устройствами ввода-вывода через свой API, написанный на C++, подключать другие внешние библиотеки, написанные на разных языках, обеспечивая вызовы к ним из JavaScript-кода.</p>"
Sublime Text;Adopt;Tools;ЛОЖЬ;"<p><strong><a href=""https://ru.wikipedia.org/wiki/Sublime_Text"">Sublime Text</a></strong> — проприетарный текстовый редактор. Поддерживает плагины на языке программирования Python.</p>"
IntelliJ IDEA 2022;Adopt;Tools;ЛОЖЬ;"<p><strong><a href=""https://ru.wikipedia.org/wiki/IntelliJ_IDEA"">IntelliJ IDEA</a></strong> — интегрированная среда разработки программного обеспечения для многих языков программирования, в частности Java, JavaScript, Python.</p>"
Ansys 2021R;Adopt;Tools;ЛОЖЬ;"<p><strong><a href=""https://ru.wikipedia.org/wiki/ANSYS"">ANSYS</a></strong> — универсальная программная система анализа методом конечных элементов (МКЭ), существующая и развивающаяся на протяжении последних 30 лет, является довольно популярной у специалистов в сфере автоматизированных инженерных расчётов (САПР, или CAE) и решения МКЭ линейных и нелинейных, стационарных и нестационарных пространственных задач механики деформируемого твёрдого тела и механики конструкций (включая нестационарные геометрически и физически нелинейные задачи контактного взаимодействия элементов конструкций), задач механики жидкости и газа, теплопередачи и теплообмена, электродинамики, акустики, а также механики связанных полей.</p>"
Visual studio 2022;Adopt;Tools;ЛОЖЬ;"<p><strong><a href=""https://ru.wikipedia.org/wiki/Microsoft_Visual_Studio#Visual_Studio_2022"">Visual studio</a></strong> — интегрированная среда разработки программного обеспечения и ряд других инструментов</p>"
Git;Adopt;Tools;ЛОЖЬ;"<p><strong><a href=""https://ru.wikipedia.org/wiki/Git"">Git</a></strong> — распределённая система управления версиями.</p>"
GitHub, GitLab;Adopt;Tools;ЛОЖЬ;"<p><strong><a href=""https://ru.wikipedia.org/wiki/GitLab"">GitLab</a></strong> — веб-инструмент жизненного цикла DevOps с открытым исходным кодом, представляющий систему управления репозиториями кода для Git с собственной вики, системой отслеживания ошибок, CI/CD пайплайном и другими функциями.</p>"
Postman;Assess;Tools;ЛОЖЬ;"<p><strong><a href=""https://en.wikipedia.org/wiki/Postman_(software)"">Postman</a></strong> — это платформа API, позволяющая разработчикам проектировать, создавать, тестировать и повторять свои API.</p>"
VS Code;Adopt;Tools;ЛОЖЬ;"<p><strong><a href=""https://ru.wikipedia.org/wiki/Visual_Studio_Code"">VS Code</a></strong> — текстовый редактор, разработанный Microsoft для Windows, Linux и macOS. Позиционируется как «лёгкий» редактор кода для кроссплатформенной разработки веб- и облачных приложений.</p>"
PyCharm;Adopt;Tools;ЛОЖЬ;"<p><strong><a href=""https://ru.wikipedia.org/wiki/PyCharm"">PyCharm</a></strong> — это кроссплатформенная интегрированная среда разработки для языка программирования Python, разработанная компанией JetBrains на основе IntelliJ IDEA.</p>"
Bash 5;Trial;Tools;ЛОЖЬ;"<p><strong><a href=""https://ru.wikipedia.org/wiki/Bash"">Bash</a></strong> — усовершенствованная и модернизированная вариация командной оболочки Bourne shell.</p>"
SQLite;Trial;Tools;ЛОЖЬ;"<p><strong><a href=""https://ru.wikipedia.org/wiki/SQLite"">SQLite</a></strong> — компактная встраиваемая СУБД.</p>"
MySQL;Trial;Tools;ЛОЖЬ;"<p><strong><a href=""https://ru.wikipedia.org/wiki/MySQL"">MySQL</a></strong> — свободная реляционная система управления базами данных.</p>"
Figma;Hold;Tools;ЛОЖЬ;"<p><strong><a href=""https://ru.wikipedia.org/wiki/Figma"">Figma</a></strong> — онлайн-сервис для разработки интерфейсов и прототипирования с возможностью организации совместной работы в режиме реального времени.</p>"
MS Office;Adopt;Tasks;ЛОЖЬ;<p>Создание и поддержка расширений для пакета MS Office</p>
САПР (Ansys, Abaqus и тд.);Adopt;Tasks;ЛОЖЬ;<p>Интеграция и разработка собственных add-ins-ов и утилит для различных САПР (Ansys, Abaqus и тд.)</p>
Поддержка отделов КБ;Adopt;Tasks;ЛОЖЬ;<p>?</p>
СУПД;Adopt;Tasks;ЛОЖЬ;<p>Доработка и развитие СУПД</p>
Jira;Adopt;Tasks;ЛОЖЬ;<p>Сбор метрик и статистики</p>
PLM;Adopt;Tasks;ИСТИНА;<p>Администрирование и кастомизация TeamCenter</p>
